epoch,train_loss,val_mae,val_rmse
1,27.62821768792931,2.3965244789918265,2.630574283587371
2,7.845317538233771,1.3934432938694954,1.6153405465025876
3,4.925578762655673,0.8351276765267054,0.9984024772603646
4,3.9080756378634542,0.9796837071577708,1.1074063142235226
5,3.3647938500279966,0.6230528553326925,0.6950636097089785
6,3.056209613735549,0.5249597206711769,0.6894099044920474
7,2.9473041267210736,0.6357737282911936,0.7666425487510223
8,2.7588042331778486,0.720065638422966,0.8382666207839238
9,2.453830371156407,0.5356123199065527,0.6017215402145427
10,2.358862693183088,0.5802382975816727,0.6550060801466357
11,2.4670084916451125,0.44932286192973453,0.5021082959827448
12,2.1059896577383586,0.6173121531804403,0.7034728253601582
13,2.1043178436260868,0.5079560627539953,0.6045998230310851
14,2.0790745077501747,0.6595446368058523,0.7667856691093489
15,1.966092546780904,0.7526168848077456,0.8519614937166932
16,2.010218598416462,0.4434020978709062,0.512689657698174
17,1.904365746871285,0.4448896795511246,0.554446340134712
18,1.7335120854170427,0.5085315455993017,0.6232553050905701
19,1.6966839159168483,0.430758702258269,0.4935640904306853
20,1.773274436665042,0.5043801193435987,0.5898152163273016
21,1.612959883639202,0.6618689596652985,0.7367208317005974
22,1.5365688812329574,0.5639273424943289,0.6708090359875601
23,1.5972100565398948,0.41999730716149014,0.5274522997789752
24,1.547396353477441,0.6975930233796438,0.8318244678330347
25,1.5074939750818814,0.44514938443899155,0.5279480941526892
26,1.540766908350774,0.37654636055231094,0.484806871812024
27,1.507450907126717,0.5556843280792236,0.6051370622534401
28,1.3803123491973692,0.5520071635643641,0.6659557711654972
29,1.4864834806193477,0.487150010963281,0.630407530644672
30,1.35121432537042,0.4342235494405031,0.5563094779117357
31,1.4148253107416457,0.6361479312181473,0.7217026342242846
32,1.3341221429299617,0.5030160595973333,0.5961583211176348
33,1.425046918472806,0.5616344039638838,0.680797561887625
34,1.28211175877115,0.40984904021024704,0.4921125377033538
35,1.2475923691394823,0.34198379268248874,0.4417206713015611
36,1.2117925571358723,0.5740870460867882,0.6468875598409675
37,1.321016317980301,0.4396408498287201,0.5765072052283765
38,1.3396929398826931,0.7059138926366965,0.7936235521605708
39,1.2128504208032636,0.5424380972981453,0.6452269887921019
40,1.1600328701129858,0.48827657848596573,0.6030070399427919
41,1.1135493954598616,0.5614856332540512,0.6336959366463039
42,1.059049167494843,0.4888045514623324,0.5816568831551038
43,1.1670027939593735,0.5449036334951719,0.635465842047582
44,1.2680372587148694,0.426285982131958,0.5154384269130485
45,1.1308130763003215,0.33875790735085803,0.45328169624926334
46,1.0833545226405785,0.3947734112540881,0.4689129000845094
47,1.0714690022998385,0.44252873957157135,0.5196683061476448
48,1.1040893090519928,0.38440179576476413,0.48892400693340843
49,1.0332858542313323,0.368765930334727,0.4458762037325214
50,1.029009999860312,0.5214519451061884,0.6098682586754857
51,1.0701144507541749,0.4728476156791051,0.6062789252106882
52,1.0781126422582616,0.6594713479280472,0.7329096781965544
53,1.0536592395409294,0.3841570516427358,0.46020996994213464
54,1.0735020899542287,0.4836706966161728,0.5696853334952809
55,1.0148321830708047,0.3614538113276164,0.45968816746012053
