epoch,train_loss
1,8.892032344560116
2,2.8613449312062653
3,2.561148655011458
4,2.461296893260329
5,2.2052459762868097
6,1.9042837455652761
7,2.10312008800138
8,1.964411935944488
9,1.6954241443947318
10,1.8556581338246663
11,1.5601796890802428
12,1.531405056156398
13,1.544694643665627
14,1.38377827261957
15,1.4929838693084347
16,1.591750044753586
17,1.538010971845636
18,1.2943418097956745
19,1.413714909899062
20,1.385223166378224
21,1.2816842276117075
22,1.313407593159284
23,1.2346168134523474
24,1.2908093252619683
25,1.4278672567888158
26,1.2418097395827805
27,1.398805800843354
28,1.1004737627103134
29,1.1409701428551604
30,1.1180561252550227
