epoch,train_loss
1,23.764504259911135
2,5.88161529780586
3,4.013473658745991
4,3.3599206122799194
5,2.944948725078417
6,2.727948937439112
7,2.7438763547058844
8,2.6588601063990938
9,2.3237918310119334
10,2.3260757577592046
11,2.430365901062454
12,2.2388936724639743
13,2.32490823349515
14,2.342286715760899
15,2.112826801152621
16,2.130421301592951
17,2.2152964780871995
18,1.9561331577347096
19,1.9364341537733585
20,2.3613944554674453
21,2.139619783502846
22,1.9541720206610822
23,2.014681505120319
24,1.945131161938543
25,1.7878138199808518
26,1.9257992914909325
27,1.9025094296045348
28,1.7844905038386727
29,1.7868674308205572
30,1.7595425783724026
