epoch,train_loss
1,15.101804141261152
2,4.5062114939021605
3,3.2296092239554954
4,3.058020530115579
5,2.8384530786154927
6,3.1009564860431467
7,2.2730597318082615
8,2.1868568693382153
9,2.06253553243075
10,2.6998677294035462
11,1.9331394808303908
12,1.866153744107859
13,2.130747802591554
14,1.9030241655266804
15,1.9610977132539242
16,1.8079819817473923
17,1.675589438509826
18,1.5768440047611938
19,1.679977073761576
20,1.6073384555641579
21,1.834322298206569
22,2.0022917980157233
23,1.693066764568937
24,1.7245438813011427
25,1.6633125831539504
26,1.4849473664150146
27,1.471321079466078
28,1.5223072456276936
29,1.4432802470985817
30,1.4703397555051794
