model;val_mae;val_rmse;test_mae;test_rmse
N-BEATS;0.2520723591248194;0.3088331357168108;0.24478055785099664;0.28443436217421486
N-HiTS;0.3135505020618438;0.36185835543739264;0.16731146102150277;0.1982942375740715
Proposed Model;0.33875790735085803;0.45328169624926334;0.21466842542092004;0.2443877909525115
