horizon_step;N-BEATS_MAE;N-BEATS_RMSE;N-HiTS_MAE;N-HiTS_RMSE;Proposed Model_MAE;Proposed Model_RMSE
1;0.19984550774097434;0.313966367817474;0.15976550181706686;0.2019058480847803;0.19448140760262808;0.3288309607570172
2;0.2729180206855138;0.3556008210678124;0.1358836789925893;0.18031821818146995;0.4130344887574508;0.6917199845102996
3;0.1221521000067393;0.17978084187051166;0.09082176784674327;0.09984836325152067;0.39111580948034924;0.6491165704878783
4;0.3842066029707591;0.6289726213365372;0.2827748954296112;0.44515196796688383;0.2328382035096486;0.27298267550262045
