model;val_mae;val_rmse;test_mae;test_rmse
last_value_baseline;0.81916676958402;0.9309121326189588;0.743749858190616;0.8015576817635255
latent_shared;0.5319867382446924;0.6186000835429858;0.30786747733751935;0.33986095314078324
nbeats;0.2520723591248194;0.3088331357168108;0.24478055785099664;0.28443436217421486
nhits;0.3135505020618438;0.36185835543739264;0.16731146102150277;0.1982942375740715
